review_id,review_score,translated_review,cleaned_text
e64fb393e7b32834bb789ff8bb30750e,5,I received it well before the deadline.,receive deadline
f7c4243c7fe1938f181bec41a392bdeb,5,Congratulations lannister stores loved shopping online safe and practical Congratulations to all happy Easter,shopping safe practical happy easter
8670d52e15e00043ae7de4c01cc2fe06,4,recommend efficient device. on the website the brand of the device is printed as 3desinfector and when it arrives with another name ... update with the correct brand since it is the same device,recommend efficient device brand device print update correct brand device
3948b09f7c818e2d86c9a546758b2335,5,"Super recommend Reliable seller, product ok and delivery before the deadline.",super recommend reliable seller product delivery deadline
9314d6f9799f5bfba510cc7bcd468c01,2,"I WOULD LIKE TO KNOW WHAT HAPPENED, I ALWAYS RECEIVED AND THAT PURCHASE NOW DEFECTED ME",like know receive purchase
373cbeecea8286a2b66c97b1b157ec46,1,My poor product did not arrive,poor product arrive
d21bbc789670eab777d27372ab9094cc,5,Great store note 10,great store note
0e0190b9db53b689b285d3f3916f8441,5,thank you for your kind attention,thank kind attention
fe3db7c069d694bab50cc43463f91608,5,"The purchase was made easily. The delivery was made well before the given deadline. The product has already started to be used and to date, without problems.",purchase easily delivery give deadline product date
e07eee7ad7666276bd8b27fbd83fd1ff,5,very beautiful and cheap watch.,beautiful cheap watch
2c5e27fc178bde7ac173c9c62c31b070,1,Did not like ! I bought a pig in a poke,like buy pig poke
58044bca115705a48fe0e00a21390c54,1,"I always buy over the Internet and delivery takes place before the agreed deadline, which I believe is the maximum period. At stark, the maximum term has expired and I have not yet received the product.",buy delivery place agree deadline believe maximum period stark maximum term receive product
c92cdd7dd544a01aa35137f901669cdf,4,"Very good. I got exactly what I expected. Other orders from other sellers were delayed, but this one arrived on time.",good get exactly time
08c9d79ec0eba1d252e3f52f14b8e6a9,5,"Good recommend,",good recommend
2170c9452c2216457b36003fe2969fbb,5,very good,good
b193ff3c9f32a01f3a0d9ae26b94d244,5,"Wonderful! I'm completely in love, super responsible and reliable store!",wonderful m completely love super responsible reliable store
9fd59cd04b42f600df9f25e54082a8d1,1,Nothing to get my order.,order
86c5cfa7fcbde303f704b60a78ced7d6,5,Perfect delivery Very good. very fragrant.,perfect delivery good fragrant
890ec1767be8eb104877db6d68eaade5,5,"great seller arrived before the deadline, I loved the product",great seller deadline product
7d9ac3e98adc0c8ad579e6a2257d79f9,5,Smooth and efficient purchasing process.,smooth efficient process
c41bd21983e298a240410ebb391bf075,5,I hope it lasts because it is made of fur.,hope fur
e233e51d11511bf30e568c76360ace52,1,I received only 1 Midea Split STYLE control. Missed Remote Control for Air Conditioning Consul,receive split style control remote control air consul
1edd1a85161468a77e5fcb165be9b294,5,Great,great
3d94fd645cdaacc8c9f0dc0a2a1f5166,5,good,good
500c05500aa275953129f49799ee5c73,5,MT beautiful MT beautiful,beautiful beautiful
6a0969d0769d2f3ff6438809a1cc455e,5,Everything happened as contracted and the delivery was made before the deadline I am satisfied,contract delivery deadline satisfied
8a64945e89526e68bc16383391590232,5,"I loved it, beautiful, very delicate",beautiful delicate
c0dbf9a325d2a2fece43873be47191e1,4,"Great store for partnership: very fast, well packaged and quality products! Only the cost of shipping, which was kind of sour.",great store partnership fast quality cost ship kind sour
109b5ce2dd11bb8460eff3b86da6fefc,5,Great Product! I recommend the seller ...,great product recommend seller
6d06808638ec0701bccd70bc8d462c28,1,"The product did not arrive within the stipulated time and caused inconvenience, because I scheduled my son's vacation trip, based on the deadline. I live in Bahia and he in Cuiabá alone. Now, the house is empty.",product arrive time inconvenience son s vacation trip base deadline live house
750d4311e8ddb6cba549ee86f06f0cca,5,"Product delivered as requested, and very soon. Congratulations!",product soon
8b230a1373c6dc4bd867099fda1d7039,3,I bought two units and only received one and now what do I do?,buy receive
cb2fc3e5711b5ae85e0491ee18af63ed,3,"Good product, but what came to me does not match the photo in the ad.",good product come match photo ad
60c714ed14cef913944a3147094a4742,1,"Very inferior product, badly finished.",inferior product badly finish
c45811d9f90e22a81155b3a1e4a5c2e8,5,I ALWAYS RECOMMEND !! The canine patrol backpack kit is beautiful !! My grandchild will love it !! Thanks!!,recommend canine patrol kit beautiful grandchild love thank
e29ab4a671400c41322e4855de633c6a,5,Wonderful,wonderful
0bd4dcc4f6c4621baf37f73495cad8c4,3,On-time delivery,time delivery
888f11883ff85fa5c07e6ae1192d85c4,5,Fulfilled what was promised in the purchase and with a satisfactory delivery time,purchase satisfactory delivery time
65dfeb60c40e3cbb0a1838285d86f885,1,I asked for a refund and no response so far,refund response far
50a1eaa2f96d6f3e02d0cd68d92bab75,5,***** I recommend it super fast.,recommend super fast
352609f0f2d34ce5d3b8de817ee948d5,3,I did not receive the product.,receive product
1692078634b63c7f25aa90ee746ec498,5,GREAT OK RECOMMEND,great recommend
ff722b4c68783a4459a3adb9bb4e1d0d,3,"Product arrived, but my PC was unable to recognize the USB ports.",product unable recognize
